term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,3.4932118067081563,1.2269842196857679,2.846990002530572,0.004566526132750038,3.4932118067081563,1.2269842196857679,2.846990002530572,0.004566526132750038
endogenous_x,0.5550509512063452,0.049941869015581584,11.113940309946598,3.410677173619437e-26,0.5550509512063452,0.049941869015581584,11.113940309946598,3.410677173619437e-26
fe_date_2018-02-28,0.17282275901608224,0.28425075965256685,0.6079940093293664,0.5434246173839304,0.17282275901608224,0.28425075965256685,0.6079940093293664,0.5434246173839304
fe_date_2018-03-31,0.2806086750724224,0.28479754118203693,0.9852917757216972,0.32488328215251605,0.2806086750724224,0.28479754118203693,0.9852917757216972,0.32488328215251605
fe_date_2018-04-30,0.522915424602669,0.2846233970404908,1.8372186898193708,0.06667867815294293,0.522915424602669,0.2846233970404908,1.8372186898193708,0.06667867815294293
fe_date_2018-05-31,0.1661498813800822,0.28497065020641865,0.5830420826135303,0.5600869969055536,0.1661498813800822,0.28497065020641865,0.5830420826135303,0.5600869969055536
fe_date_2018-06-30,0.5214163268708919,0.28519960007535117,1.82825055411414,0.06801501420551288,0.5214163268708919,0.28519960007535117,1.82825055411414,0.06801501420551288
fe_date_2018-07-31,0.8422412360353889,0.28618962018232413,2.9429482295647844,0.0033783759208722967,0.8422412360353889,0.28618962018232413,2.9429482295647844,0.0033783759208722967
fe_date_2018-08-31,0.691504528857141,0.28501347888419837,2.4262169338949082,0.015554815215754766,0.691504528857141,0.28501347888419837,2.4262169338949082,0.015554815215754766
fe_date_2018-09-30,0.8362745957809277,0.28650869978857296,2.9188453837459405,0.0036468175152371985,0.8362745957809277,0.28650869978857296,2.9188453837459405,0.0036468175152371985
fe_date_2018-10-31,0.9696448995899849,0.2861434243136364,3.388667420598055,0.0007490028415432626,0.9696448995899849,0.2861434243136364,3.388667420598055,0.0007490028415432626
fe_date_2018-11-30,1.0502234232278072,0.28683929524492097,3.6613652335572153,0.00027332306636652725,1.0502234232278072,0.28683929524492097,3.6613652335572153,0.00027332306636652725
fe_date_2018-12-31,1.158098395892125,0.2886046614934753,4.012750140275565,6.77136643683932e-05,1.158098395892125,0.2886046614934753,4.012750140275565,6.77136643683932e-05
