step,technology,output,consumption
0,1.02,1.0149593066857212,0.7810848494320716
1,1.0184,1.0133672136556258,0.7794927564019761
2,1.016928,1.0119024880679384,0.7780280308142887
3,1.01557376,1.0105549405272658,0.7766804832736162
4,1.0143278592,1.0093151967898468,0.7754407395361972
5,1.013181630464,1.0081746325514214,0.7743001752977717
6,1.01212710002688,1.0071253134520703,0.7732508561984207
7,1.0111569320247296,1.0061599398806669,0.7722854826270172
8,1.0102643774627513,1.0052717961949762,0.7713973389413266
9,1.0094432272657312,1.0044547040041405,0.7705802467504909
10,1.0086877690844727,1.0037029791885714,0.7698285219349218
