date,prediction,signal,rank
2019-01-31,0.575748530352665,1.0,13.0
2019-02-28,0.457964498753317,1.0,18.0
2019-03-31,0.2754948219861656,1.0,26.0
2019-04-30,0.0874044086936036,1.0,36.0
2019-05-31,0.49204092865576815,1.0,16.0
2019-06-30,0.006924410358134443,1.0,41.0
2019-07-31,0.08968886238313643,1.0,35.0
2019-08-31,-0.2650905598398585,-1.0,53.0
2019-09-30,0.12632719058239344,1.0,32.0
2019-10-31,0.3226895405578051,1.0,23.0
2019-11-30,0.0847629107485817,1.0,37.0
2019-12-31,-0.06640738560992135,-1.0,48.0
2020-01-31,-0.047517192999363224,-1.0,46.0
2020-02-29,-0.4374849615772892,-1.0,59.0
2020-03-31,0.10228905996843275,1.0,34.0
2020-04-30,-0.2074521571184804,-1.0,51.0
2020-05-31,-0.05554676514318175,-1.0,47.0
2020-06-30,-0.5818181172869685,-1.0,64.0
2020-07-31,-0.974717032644419,-1.0,71.0
2020-08-31,0.011742578839961692,1.0,39.0
