date,prediction,signal,rank
2020-01-31,-0.048858059657839466,-1.0,36.0
2020-02-29,-0.43418388052328855,-1.0,47.0
2020-03-31,0.1082946081156187,1.0,27.0
2020-04-30,-0.20299735073377737,-1.0,40.0
2020-05-31,-0.0592709665343419,-1.0,37.0
2020-06-30,-0.5885097600225514,-1.0,52.0
2020-07-31,-0.9772282450396,-1.0,59.0
2020-08-31,0.011747256847377865,1.0,31.0
2020-09-30,-0.5059224437309728,-1.0,50.0
2020-10-31,-0.6514623163026914,-1.0,54.0
2020-11-30,-1.4302025888535699,-1.0,60.0
2020-12-31,0.34923799222734075,1.0,19.0
2021-01-31,-0.02555595243307585,-1.0,35.0
2021-02-28,-0.0017889941780926152,-1.0,33.0
2021-03-31,1.2422559879049557,1.0,4.0
2021-04-30,1.5153060309394306,1.0,1.0
2021-05-31,0.5391323821998574,1.0,14.0
2021-06-30,-0.47779520279038534,-1.0,49.0
2021-07-31,-0.4237878154655003,-1.0,46.0
2021-08-31,-0.5431323525463495,-1.0,51.0
