horizon,variance,volatility,volatility_response
1,0.24152400866586418,0.49145092193001755,0.012519784545657331
2,0.24037153127266273,0.4902769944354545,0.01134585705109431
3,0.23932838032200648,0.48921199936429044,0.010280861979930223
4,0.23838418487637417,0.488246029043119,0.009314891658758762
5,0.23752955780730814,0.48737004196740297,0.00843890458304275
6,0.2367560024692062,0.48657579313936916,0.0076446557550089445
7,0.236055828226235,0.4858557689543626,0.006924631570002393
8,0.23542207399253892,0.4852031265279923,0.006271989143632084
9,0.23484843902558658,0.48461163731960316,0.005680499935242944
10,0.23432922028460654,0.4840756348801358,0.005144497495775557
