term,coefficient,equation
return_a,0.0006474339317542189,intercept
return_b,-0.001955173391124073,intercept
return_c,0.003718095752276998,intercept
return_a.return_a,0.6492154550397268,L1
return_b.return_a,0.14842013159743822,L1
return_c.return_a,0.28252255945703336,L1
return_a.return_b,0.11395288131152138,L1
return_b.return_b,0.22940505331131467,L1
return_c.return_b,0.326703820676588,L1
return_a.return_c,0.16200304350756378,L1
return_b.return_c,-0.3098141252150164,L1
return_c.return_c,0.9163011924735646,L1
e(return_a).return_a,0.10344642108109994,L1
e(return_b).return_a,0.20348336112560964,L1
e(return_c).return_a,0.2916722952992374,L1
e(return_a).return_b,0.01713309289330971,L1
e(return_b).return_b,0.052902421158131374,L1
e(return_c).return_b,-0.2562221109602942,L1
e(return_a).return_c,0.08763456350419288,L1
e(return_b).return_c,0.6631730092923507,L1
e(return_c).return_c,-0.203074521455791,L1
var.return_a,0.058334230282216126,sqrt
cov.return_a.return_b,-0.005076864782758459,sqrt
var.return_b,0.03760560172053329,sqrt
cov.return_a.return_c,0.02757405350558569,sqrt
cov.return_b.return_c,-0.00033956712665827684,sqrt
var.return_c,0.03547621651824133,sqrt
