term,coefficient,equation
return_a,-0.00777917656842916,intercept
return_b,-0.0007475649832071309,intercept
return_c,0.0005157200672400077,intercept
return_a.return_a,0.2609773901850937,L1
return_b.return_a,0.010847502380101806,L1
return_c.return_a,-0.010138154928705246,L1
return_a.return_a,-0.1438539484932302,L2
return_b.return_a,-0.02574068700771103,L2
return_c.return_a,0.8082281901583059,L2
return_a.return_b,-0.021871170119076713,L1
return_b.return_b,-0.0769948068450284,L1
return_c.return_b,0.13755702606837902,L1
return_a.return_b,0.24630127434411686,L2
return_b.return_b,0.21939256539051555,L2
return_c.return_b,-0.0010357550717413145,L2
return_a.return_c,-0.09971797255973719,L1
return_b.return_c,-0.19655244391057464,L1
return_c.return_c,0.40598741285434115,L1
return_a.return_c,-0.25876576800185014,L2
return_b.return_c,0.013454887598648956,L2
return_c.return_c,0.9618699206960227,L2
e(return_a).return_a,0.29630147891661585,L1
e(return_b).return_a,0.062488093567529684,L1
e(return_c).return_a,0.5615736583021514,L1
e(return_a).return_b,0.11938604999657844,L1
e(return_b).return_b,0.3614141015573196,L1
e(return_c).return_b,-0.09594027431030293,L1
e(return_a).return_c,-0.010789199930786617,L1
e(return_b).return_c,0.276411921804064,L1
e(return_c).return_c,0.6151204165743852,L1
var.return_a,0.050624298667923985,sqrt
cov.return_a.return_b,-0.007779121563720817,sqrt
var.return_b,0.03620849076513896,sqrt
cov.return_a.return_c,0.019654594718695472,sqrt
cov.return_b.return_c,-0.002643803045722674,sqrt
var.return_c,0.04261373809869979,sqrt
