optimizer_name,function_name,run_index,seed,status,best_fitness,best_solution,curve,curve_length,resolved_dimension,requested_dimension,optimizer_kwargs,function_info
mealpy.evolutionary_based.DE.OriginalDE,Ackley01,1,20260340,ok,19.854381523261633,"[-5.914565034357917, 14.226512341946806, 26.83140998147799, -0.18383797140220307, 0.26740243546651066, 7.614148978867753, -19.53101673390143, -1.1762942371704284, 26.52147805875345, 11.464344695484783, 9.45794534665899, 21.17674914985323, -0.11050540391511075, -8.471657303488294, 0.3257670951619332, -8.20634014709711, 2.6669872978035998, -2.2974216302108874, -8.744585637187688, -4.94252347538511, -28.007217247271928, -3.9618752750658306, 10.786970003130984, -4.4227319260443085, 4.043755118797362, -3.1149322160040036, -16.18321324786495, -12.103131026843315, -1.0533850550364119, -9.129838442279244]","[20.94586513678546, 20.810202242624435, 20.7878395414545, 20.766915014402468, 20.756951085681184, 20.4762232987044, 20.027768887441766, 20.027768887441766, 19.854381523261633, 19.854381523261633]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260340}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.evolutionary_based.DE.OriginalDE,Ackley01,2,20260341,ok,20.276036118473414,"[23.96718920580323, -15.880291169010132, 14.375393919187042, -4.092791993315782, -18.432539180114453, -19.917995066019458, -7.90629796857548, 6.405262709934278, 11.964133661953033, -8.93664334681493, 23.398553461838546, 3.7746755315854683, 19.214409374615144, 7.652506390564593, 3.1499056321924384, 8.165412258577522, 14.986657776959056, 5.381534687849719, 8.676446730742812, -13.837332185247096, 8.984583041061294, 3.0551539099709046, 13.299486187549306, -0.16784439291235786, -16.428429909602997, 4.650843353445164, 16.270384147113532, -7.419271656044977, 29.46620510708102, 4.755560127703513]","[20.779632580182575, 20.779632580182575, 20.779632580182575, 20.779632580182575, 20.779632580182575, 20.627488293801893, 20.627488293801893, 20.627488293801893, 20.627488293801893, 20.276036118473414]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260341}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.evolutionary_based.DE.OriginalDE,Ackley01,3,20260342,ok,19.10297705846013,"[16.158098874124576, 15.951875246463489, 3.8794982922966614, -18.61829789933039, -16.804427294230674, -0.9544840512626248, 6.948675494413303, -15.592134297981275, -5.417224899481445, -17.37149522048095, -7.521343876718675, -11.92554271927381, 3.6076309798733135, 0.06310559876525956, -14.857770326865861, 9.934437588259645, -7.948612783277484, 2.060499928328464, 1.8256393709546672, 21.85424598102453, 19.01064699267648, 11.060696036427988, -11.047976888069224, -4.04634630769229, 6.732519131375826, -1.1364013514650941, 6.351700868729344, 1.750196778440621, 11.986548555463568, -0.8645681130783601]","[20.40254790953273, 20.40254790953273, 20.40254790953273, 20.40254790953273, 19.796885868185672, 19.487070666261896, 19.487070666261896, 19.242215522863514, 19.10297705846013, 19.10297705846013]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260342}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.PSO.OriginalPSO,Ackley01,1,20260331,ok,20.097696167147276,"[-7.914314886313881, 27.063390202205742, 7.949977725484647, 19.772916844168538, 26.242002469655553, 8.921765098708097, -12.168608321752654, 10.252721453842272, -10.026411308237783, -18.37765594196205, 12.057841366076165, -0.3369060116246494, -20.86825065339073, 4.169960116487048, -20.16390423073848, 12.559584890258812, 5.434477079979654, 12.596010904596273, -14.110092192961805, 20.820295671731362, 4.750037542278552, -11.893699811250034, 0.33071728717106375, 14.378517172998041, -13.50753397465991, -1.9501390288673441, -0.699405332305207, -1.1430955713311857, -10.014766096934608, 1.8185334448433483]","[20.248513889060753, 20.248513889060753, 20.248513889060753, 20.248513889060753, 20.23781060866332, 20.23781060866332, 20.097696167147276, 20.097696167147276, 20.097696167147276, 20.097696167147276]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260331}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.PSO.OriginalPSO,Ackley01,2,20260332,ok,20.031071719301803,"[11.716533721711443, -9.969948325416237, -4.927507045925756, 1.1387038159542007, -12.991054621121744, 25.11492761877153, 12.78757743259149, 16.787683240167876, 13.082470101122311, -1.1751521847365884, 3.530578016058179, 2.7895881367605364, -2.922280750310927, -1.1578214562190094, -7.230989817198227, -25.447718939183346, 24.237785259604912, 7.320531196094614, -9.157675671937938, -13.973980716753822, -24.71821227962413, -1.5093445203267675, 20.399131075624958, 3.9244357080327994, -12.799770606883158, 7.9443185703645085, 0.17945349351632922, 19.36223579597101, -10.182489230864647, 9.608792229663363]","[20.901835185774384, 20.808373404011757, 20.647893174363873, 20.46304405197492, 20.46304405197492, 20.049725613021504, 20.031071719301803, 20.031071719301803, 20.031071719301803, 20.031071719301803]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260332}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.PSO.OriginalPSO,Ackley01,3,20260333,ok,20.49217868042229,"[12.066327125695642, -10.529651757318188, 12.765190067291002, 25.66031296367043, -3.091723720301538, 20.1229604603216, 1.288138503315058, -8.346271207574883, 10.202379353548364, -1.9889250554198086, 4.900200907131666, -9.238848192683644, 3.3860093883893128, -7.693740024841658, -15.43188831016152, -4.19008737646939, 26.05527186009706, -21.099727379109254, 20.138378124971503, -20.96238561496823, -4.139582713892861, 13.623260791994968, 26.41271642288244, 2.977624141630846, -16.778399235181464, 5.6045799524548805, -16.691428559036325, 5.352046351136135, 13.38383582226441, -16.28135230355289]","[20.855614927113347, 20.72640178240626, 20.61190033368842, 20.61190033368842, 20.61190033368842, 20.61190033368842, 20.61190033368842, 20.533283674210416, 20.533283674210416, 20.49217868042229]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260333}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.WOA.OriginalWOA,Ackley01,1,20260349,ok,8.734453831386702,"[-3.8206899923677233, 1.97653998865635, 1.97653998865635, 1.97653998865635, 1.97653998865635, 1.97653998865635, 3.8618859002953325, 1.97653998865635, 0.8121148232674676, -1.6970574178199471, 1.97653998865635, 1.97653998865635, 1.97653998865635, 1.97653998865635, -1.6697955642590407, 1.97653998865635, 1.97653998865635, 1.97653998865635, -0.7080508110676488, -3.065055518337113, 1.97653998865635, 1.97653998865635, 1.97653998865635, 1.97653998865635, -0.02532744706608318, -6.141481803613, 1.97653998865635, 1.97653998865635, 1.97653998865635, -6.95114027425447]","[20.71121088970965, 20.283874473243998, 19.999641268632306, 19.979996476827797, 19.979996476827797, 19.118888687863492, 9.656050476992133, 8.866512301329006, 8.785351519983276, 8.734453831386702]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260349}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.WOA.OriginalWOA,Ackley01,2,20260350,ok,0.07992299899653021,"[0.0023766479823080187, -0.04569360241075465, 0.0023766479823080187, 0.0023766479823080187, 0.013435065094785044, 0.0023766479823080187, -0.058133296197106485, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.020745535291577407, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, -0.03577831035942935, 0.024480119754854077, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187, 0.0023766479823080187]","[20.48864241846027, 20.133691953737557, 19.981762360688908, 19.981762360688908, 19.749089940516065, 3.6085010214728404, 3.6085010214728404, 0.14142794126385683, 0.07992299899653021, 0.07992299899653021]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260350}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.swarm_based.WOA.OriginalWOA,Ackley01,3,20260351,ok,20.002362759442462,"[-1.1832638133419637, 3.914342752705031, 27.42613006622152, -5.827277365079766, -14.025522195040153, -13.038425586299345, 8.16293376816762, -10.231853146209351, 18.85234577362179, 8.812821413528999, -7.2253790227789825, 26.75102749823878, 10.068674655547865, 4.033106287726705, 14.413255063015532, -9.647164306958883, -4.817815753314488, -8.868489080914735, -25.321437784063622, 24.935544306411018, 3.2299554982704, 4.206378143605965, 3.2395419403723467, -8.15844630117049, 7.831644318706307, -25.837562302775616, 1.2180846633355584, -15.095351330252466, -6.709369550240081, -10.875298473945687]","[20.542464109700433, 20.04156374223179, 20.04156374223179, 20.04156374223179, 20.04156374223179, 20.026654780429517, 20.026654780429517, 20.02646167405735, 20.02591858285607, 20.002362759442462]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260351}","{'name': 'Ackley01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0, -35.0], 'upper_bounds': [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]}"
mealpy.evolutionary_based.DE.OriginalDE,Alpine01,1,20260343,ok,41.688574739326974,"[4.503701903577978, 3.2722401069898583, 4.24265125719691, 0.7766911645050618, 0.1665505977267835, 6.927585996900594, 1.9549427590100552, 0.11984638191585158, 0.4694375902244889, 3.5594659262823503, -9.36713630447835, 9.320244839559555, 0.13966969055164452, -1.394501079007631, 4.863246241883138, -9.6584040483556, -6.198103202447184, -0.07688962709272971, -0.030542010368391097, 1.9640985770629786, 1.1992265528472084, -6.497811193153725, 2.317654754877495, -2.528731022410231, 5.5275249832890845, -2.5293704310786254, -0.9994170399847095, -2.850940601066137, -0.4145137410052968, -0.48428069583486927]","[47.847756983988155, 47.847756983988155, 47.847756983988155, 47.847756983988155, 47.847756983988155, 47.847756983988155, 47.847756983988155, 47.847756983988155, 41.688574739326974, 41.688574739326974]",10,30,30,"{'epoch': 10, 'pop_size': 20, 'seed': 20260343}","{'name': 'Alpine01', 'dimension': 30, 'requested_dimension': 30, 'lower_bounds': [-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0], 'upper_bounds': [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]}"
